,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
51,Trip,Ella Mai,Top Songs of 2019: USA,0.477,0.61,11.0,-5.628,0.0,0.144,0.225,0.0,0.107,0.358,79.882,213993.0,70.0
52,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: USA,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,253390.0,75.0
53,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2019: USA,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0,77.0
55,Someone You Loved,Lewis Capaldi,Top Songs of 2019: USA,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,84.0
56,Space Cadet (feat. Gunna),Metro Boomin,Top Songs of 2019: USA,0.901,0.464,5.0,-9.789,0.0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267.0,77.0
57,Please Me,"Cardi B, Bruno Mars",Top Songs of 2019: USA,0.747,0.57,1.0,-6.711,1.0,0.081,0.0642,0.0,0.0832,0.65,133.992,200890.0,71.0
58,Cash Shit (feat. DaBaby),Megan Thee Stallion,Top Songs of 2019: USA,0.921,0.635,1.0,-4.904,1.0,0.416,0.0218,0.0,0.0946,0.549,130.028,192540.0,62.0
59,24/7 (feat. Ella Mai),Meek Mill,Top Songs of 2019: USA,0.657,0.711,0.0,-5.355,1.0,0.374,0.0135,0.0,0.221,0.368,86.957,221522.0,56.0
60,Hot (feat. Gunna),Young Thug,Top Songs of 2019: USA,0.855,0.651,0.0,-8.044,0.0,0.235,0.063,0.0,0.0772,0.559,111.997,193027.0,68.0
61,Sucker,Jonas Brothers,Top Songs of 2019: USA,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027.0,77.0
62,Beautiful Crazy,Luke Combs,Top Songs of 2019: USA,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,193200.0,76.0
63,Tap (feat. Meek Mill),NAV,Top Songs of 2019: USA,0.901,0.676,2.0,-7.033,1.0,0.251,0.0646,0.0,0.0863,0.452,85.018,148278.0,61.0
64,YOSEMITE,Travis Scott,Top Songs of 2019: USA,0.785,0.554,0.0,-6.571,1.0,0.0409,0.283,3.4e-06,0.116,0.144,128.047,150043.0,70.0
65,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2019: USA,0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947.0,0.0
66,Never Recover,"Lil Baby, Gunna, Drake",Top Songs of 2019: USA,0.753,0.686,1.0,-5.415,0.0,0.284,0.0677,0.0,0.193,0.886,132.055,194732.0,67.0
67,Leave Me Alone,Flipp Dinero,Top Songs of 2019: USA,0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,195637.0,67.0
68,bury a friend,Billie Eilish,Top Songs of 2019: USA,0.887,0.388,8.0,-14.505,1.0,0.349,0.739,0.143,0.106,0.205,120.035,193143.0,0.0
69,Armed and Dangerous,Juice WRLD,Top Songs of 2019: USA,0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,169999.0,74.0
70,Every Season,Roddy Ricch,Top Songs of 2019: USA,0.936,0.703,5.0,-5.471,0.0,0.457,0.0632,0.0,0.104,0.566,130.022,214376.0,0.0
71,Better Now,Post Malone,Top Songs of 2019: USA,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,231267.0,77.0
72,Dancing With A Stranger,"Sam Smith, Normani",Top Songs of 2019: USA,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030.0,72.0
73,Clout (feat. Cardi B),Offset,Top Songs of 2019: USA,0.919,0.622,1.0,-7.384,1.0,0.0997,0.228,4.24e-06,0.122,0.424,140.022,205803.0,65.0
74,Robbery,Juice WRLD,Top Songs of 2019: USA,0.623,0.692,2.0,-5.122,1.0,0.0504,0.328,0.0,0.153,0.566,79.899,240051.0,78.0
75,In My Feelings,Drake,Top Songs of 2019: USA,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,217925.0,71.0
76,lovely,"Billie Eilish, Khalid",Top Songs of 2019: USA,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,85.0
77,Panini,Lil Nas X,Top Songs of 2019: USA,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,114893.0,67.0
78,Baby Sitter (feat. Offset),DaBaby,Top Songs of 2019: USA,0.852,0.73,1.0,-5.803,1.0,0.0579,0.0219,0.0,0.336,0.394,92.506,157693.0,59.0
79,Nights Like This (feat. Ty Dolla $ign),Kehlani,Top Songs of 2019: USA,0.61,0.725,8.0,-5.131,1.0,0.15,0.367,0.0,0.154,0.291,146.163,201788.0,73.0
80,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,Top Songs of 2019: USA,0.671,0.833,5.0,-5.152,0.0,0.395,0.0825,0.0,0.0726,0.702,79.351,233278.0,60.0
81,Backin' It Up (feat. Cardi B),Pardison Fontaine,Top Songs of 2019: USA,0.796,0.68,10.0,-4.853,0.0,0.353,0.0886,0.0,0.268,0.565,164.932,190466.0,54.0
82,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: USA,0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,75.0
83,ocean eyes,Billie Eilish,Top Songs of 2019: USA,0.511,0.363,4.0,-7.65,0.0,0.041,0.816,0.0317,0.084,0.169,144.892,200379.0,76.0
84,Nice For What,Drake,Top Songs of 2019: USA,0.585,0.909,8.0,-6.474,1.0,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747.0,74.0
85,Startender (feat. Offset and Tyga),A Boogie wit da Hoodie,Top Songs of 2019: USA,0.736,0.622,6.0,-4.653,0.0,0.133,0.0235,0.0,0.151,0.506,191.971,192779.0,60.0
86,Best Part (feat. H.E.R.),Daniel Caesar,Top Songs of 2019: USA,0.524,0.364,7.0,-10.209,1.0,0.0367,0.808,0.0,0.1,0.436,75.24,209831.0,77.0
87,Taste (feat. Offset),Tyga,Top Songs of 2019: USA,0.884,0.559,0.0,-7.442,1.0,0.12,0.0236,0.0,0.101,0.342,97.994,232959.0,68.0
88,Moonlight,XXXTENTACION,Top Songs of 2019: USA,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090.0,79.0
89,rockstar (feat. 21 Savage),Post Malone,Top Songs of 2019: USA,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147.0,81.0
90,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2019: USA,0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,180435.0,75.0
91,Whiskey Glasses,Morgan Wallen,Top Songs of 2019: USA,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347.0,77.0
92,Time (feat. Meek Mill),Lil Baby,Top Songs of 2019: USA,0.781,0.487,8.0,-8.823,1.0,0.589,0.0335,0.0,0.163,0.344,95.879,182723.0,55.0
93,Fine China,"Future, Juice WRLD",Top Songs of 2019: USA,0.656,0.542,7.0,-7.358,1.0,0.323,0.0484,0.0,0.126,0.551,166.111,141587.0,69.0
94,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,Top Songs of 2019: USA,0.93,0.386,1.0,-9.13,1.0,0.404,0.0908,0.0,0.141,0.383,125.998,179400.0,22.0
95,EARFQUAKE,"Tyler, The Creator",Top Songs of 2019: USA,0.554,0.498,9.0,-8.866,1.0,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067.0,77.0
96,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Top Songs of 2019: USA,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,69.0
98,I Fall Apart,Post Malone,Top Songs of 2019: USA,0.556,0.538,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347.0,77.0
99,God's Plan,Drake,Top Songs of 2019: USA,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973.0,80.0
100,The Box,Roddy Ricch,Top Songs of 2020: USA,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,78.0
101,Woah,Lil Baby,Top Songs of 2020: USA,0.882,0.602,11.0,-5.554,1.0,0.245,0.0177,0.0,0.178,0.43,142.959,183011.0,63.0
102,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2020: USA,0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,75.0
103,Life Is Good (feat. Drake),Future,Top Songs of 2020: USA,0.676,0.609,2.0,-5.831,0.0,0.481,0.0706,0.0,0.152,0.508,142.037,237735.0,73.0
104,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2020: USA,0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,180435.0,75.0
105,High Fashion (feat. Mustard),Roddy Ricch,Top Songs of 2020: USA,0.831,0.499,11.0,-8.442,0.0,0.114,0.269,0.0,0.3,0.511,97.956,220487.0,68.0
106,Blinding Lights,The Weeknd,Top Songs of 2020: USA,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,87.0
107,Sum 2 Prove,Lil Baby,Top Songs of 2020: USA,0.827,0.552,4.0,-7.571,0.0,0.274,0.0169,0.0,0.122,0.408,124.011,205760.0,68.0
108,BOP,DaBaby,Top Songs of 2020: USA,0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,159715.0,71.0
109,Bandit,"Juice WRLD, YoungBoy Never Broke Again",Top Songs of 2020: USA,0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,189323.0,70.0
110,Circles,Post Malone,Top Songs of 2020: USA,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,82.0
111,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2020: USA,0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,187541.0,76.0
112,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: USA,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,75.0
113,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: USA,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,78.0
114,We Paid,"Lil Baby, 42 Dugg",Top Songs of 2020: USA,0.926,0.542,1.0,-5.064,1.0,0.293,0.135,0.0,0.0877,0.564,135.14,181929.0,70.0
115,ROXANNE,Arizona Zervas,Top Songs of 2020: USA,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,74.0
116,Start wit Me (feat. Gunna),Roddy Ricch,Top Songs of 2020: USA,0.886,0.479,4.0,-8.054,0.0,0.334,0.077,0.0,0.135,0.408,130.029,158692.0,60.0
117,Dance Monkey,Tones And I,Top Songs of 2020: USA,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438.0,74.0
118,Baby,"Quality Control, Lil Baby, DaBaby",Top Songs of 2020: USA,0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,142417.0,73.0
119,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2020: USA,0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.347,125.971,190476.0,76.0
