,songs,artist,title
96,I Feel It Coming (feat. Daft Punk),The Weeknd,Top Songs of 2022: New Zealand
97,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2022: New Zealand
98,Rolling in the Deep,Adele,Top Songs of 2022: New Zealand
99,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",Top Songs of 2022: New Zealand
0,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2019: Australia
1,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2019: Australia
2,Without Me,Halsey,Top Songs of 2019: Australia
3,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: Australia
4,Dance Monkey,Tones And I,Top Songs of 2019: Australia
5,Sweet but Psycho,Ava Max,Top Songs of 2019: Australia
6,bad guy,Billie Eilish,Top Songs of 2019: Australia
7,Body (feat. brando),Loud Luxury,Top Songs of 2019: Australia
8,Happier,"Marshmello, Bastille",Top Songs of 2019: Australia
9,"thank u, next",Ariana Grande,Top Songs of 2019: Australia
10,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2019: Australia
11,Shotgun,George Ezra,Top Songs of 2019: Australia
12,3 Nights,Dominic Fike,Top Songs of 2019: Australia
13,7 rings,Ariana Grande,Top Songs of 2019: Australia
14,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2019: Australia
15,Wow.,Post Malone,Top Songs of 2019: Australia
16,Be Alright,Dean Lewis,Top Songs of 2019: Australia
17,Better,Khalid,Top Songs of 2019: Australia
18,Someone You Loved,Lewis Capaldi,Top Songs of 2019: Australia
19,Dancing With A Stranger,"Sam Smith, Normani",Top Songs of 2019: Australia
20,Youngblood,5 Seconds of Summer,Top Songs of 2019: Australia
21,SICKO MODE,Travis Scott,Top Songs of 2019: Australia
22,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2019: Australia
23,Sucker,Jonas Brothers,Top Songs of 2019: Australia
24,Woke Up Late (feat. Hailee Steinfeld),Drax Project,Top Songs of 2019: Australia
25,Waiting,KIAN,Top Songs of 2019: Australia
26,when the party's over,Billie Eilish,Top Songs of 2019: Australia
27,Piece Of Your Heart,"Meduza, Goodboys",Top Songs of 2019: Australia
28,Let You Love Me,Rita Ora,Top Songs of 2019: Australia
29,Don't Call Me Up,Mabel,Top Songs of 2019: Australia
30,Talk,Khalid,Top Songs of 2019: Australia
31,Old Town Road,Lil Nas X,Top Songs of 2019: Australia
32,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,Top Songs of 2019: Australia
33,bury a friend,Billie Eilish,Top Songs of 2019: Australia
34,Leave a Light On,Tom Walker,Top Songs of 2019: Australia
35,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Top Songs of 2019: Australia
36,Here With Me (feat. CHVRCHES),Marshmello,Top Songs of 2019: Australia
37,Exit Sign (feat. Illy & Ecca Vandal),Hilltop Hoods,Top Songs of 2019: Australia
38,Promises,"Calvin Harris, Sam Smith",Top Songs of 2019: Australia
39,Bad Liar,Imagine Dragons,Top Songs of 2019: Australia
40,Girls Like You (feat. Cardi B),Maroon 5,Top Songs of 2019: Australia
41,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2019: Australia
42,7 Minutes,Dean Lewis,Top Songs of 2019: Australia
43,One Thing Right,"Marshmello, Kane Brown",Top Songs of 2019: Australia
44,Johnny Run Away,Tones And I,Top Songs of 2019: Australia
45,Mess Her Up (Single Edit),Amy Shark,Top Songs of 2019: Australia
46,The Git Up,Blanco Brown,Top Songs of 2019: Australia
47,I Said Hi,Amy Shark,Top Songs of 2019: Australia
48,1999,"Charli XCX, Troye Sivan",Top Songs of 2019: Australia
49,Better Now,Post Malone,Top Songs of 2019: Australia
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Top Songs of 2019: Australia
51,Choir,Guy Sebastian,Top Songs of 2019: Australia
52,Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",Top Songs of 2019: Australia
53,Love Someone,Lukas Graham,Top Songs of 2019: Australia
54,High Hopes,Panic! At the Disco,Top Songs of 2019: Australia
55,Good Lord,Birds of Tokyo,Top Songs of 2019: Australia
56,You Need To Calm Down,Taylor Swift,Top Songs of 2019: Australia
57,In My Mind (Chill) [Remix],Splice Records,Top Songs of 2019: Australia
58,lovely,"Billie Eilish, Khalid",Top Songs of 2019: Australia
59,Going Bad (feat. Drake),Meek Mill,Top Songs of 2019: Australia
60,"break up with your girlfriend, i'm bored",Ariana Grande,Top Songs of 2019: Australia
61,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2019: Australia
62,Leave Me Lonely,Hilltop Hoods,Top Songs of 2019: Australia
63,If I Can't Have You,Shawn Mendes,Top Songs of 2019: Australia
64,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: Australia
65,Saturday Nights,Khalid,Top Songs of 2019: Australia
66,Shape of You,Ed Sheeran,Top Songs of 2019: Australia
67,It's You,Ali Gatie,Top Songs of 2019: Australia
68,I'm So Tired...,"Lauv, Troye Sivan",Top Songs of 2019: Australia
69,Always Remember Us This Way,Lady Gaga,Top Songs of 2019: Australia
70,Walk Me Home,P!nk,Top Songs of 2019: Australia
71,SOS (feat. Aloe Blacc),Avicii,Top Songs of 2019: Australia
72,Giant,"Calvin Harris, Rag'n'Bone Man",Top Songs of 2019: Australia
73,Day Drunk,Morgan Evans,Top Songs of 2019: Australia
74,ZEZE (feat. Travis Scott & Offset),Kodak Black,Top Songs of 2019: Australia
75,Nevermind,Dennis Lloyd,Top Songs of 2019: Australia
76,Stay Awake,Dean Lewis,Top Songs of 2019: Australia
77,Never Seen the Rain,Tones And I,Top Songs of 2019: Australia
78,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: Australia
79,ocean eyes,Billie Eilish,Top Songs of 2019: Australia
80,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,Top Songs of 2019: Australia
81,Taste (feat. Offset),Tyga,Top Songs of 2019: Australia
82,Bohemian Rhapsody,Queen,Top Songs of 2019: Australia
83,Truth Hurts,Lizzo,Top Songs of 2019: Australia
84,Better Together (feat. Running Touch),Hayden James,Top Songs of 2019: Australia
85,Never Really Over,Katy Perry,Top Songs of 2019: Australia
86,Fire,Peking Duk,Top Songs of 2019: Australia
87,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Top Songs of 2019: Australia
88,rockstar (feat. 21 Savage),Post Malone,Top Songs of 2019: Australia
89,I Fall Apart,Post Malone,Top Songs of 2019: Australia
90,MIDDLE CHILD,J. Cole,Top Songs of 2019: Australia
91,Rewrite the Stars,"James Arthur, Anne-Marie",Top Songs of 2019: Australia
92,Thunder,Imagine Dragons,Top Songs of 2019: Australia
93,Rescue Me,OneRepublic,Top Songs of 2019: Australia
94,I Wanna Know (feat. Bea Miller),NOTD,Top Songs of 2019: Australia
95,Swervin (feat. 6ix9ine),A Boogie wit da Hoodie,Top Songs of 2019: Australia
96,Lost in Japan (Remix),"Shawn Mendes, Zedd",Top Songs of 2019: Australia
97,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2019: Australia
98,How Do You Sleep?,Sam Smith,Top Songs of 2019: Australia
99,Tequila,Dan + Shay,Top Songs of 2019: Australia
0,Dance Monkey,Tones And I,Top Songs of 2020: Australia
1,Blinding Lights,The Weeknd,Top Songs of 2020: Australia
2,Don't Start Now,Dua Lipa,Top Songs of 2020: Australia
3,Circles,Post Malone,Top Songs of 2020: Australia
4,Ride It,Regard,Top Songs of 2020: Australia
5,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2020: Australia
6,Memories,Maroon 5,Top Songs of 2020: Australia
7,Before You Go,Lewis Capaldi,Top Songs of 2020: Australia
8,Never Seen the Rain,Tones And I,Top Songs of 2020: Australia
9,Someone You Loved,Lewis Capaldi,Top Songs of 2020: Australia
10,Rushing Back (feat. Vera Blue),Flume,Top Songs of 2020: Australia
11,You should be sad,Halsey,Top Songs of 2020: Australia
12,Adore You,Harry Styles,Top Songs of 2020: Australia
13,Watermelon Sugar,Harry Styles,Top Songs of 2020: Australia
14,bad guy,Billie Eilish,Top Songs of 2020: Australia
15,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2020: Australia
16,ROXANNE,Arizona Zervas,Top Songs of 2020: Australia
17,One Thing Right,"Marshmello, Kane Brown",Top Songs of 2020: Australia
18,Castles,Freya Ridings,Top Songs of 2020: Australia
19,everything i wanted,Billie Eilish,Top Songs of 2020: Australia
20,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2020: Australia
21,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Top Songs of 2020: Australia
22,Post Malone (feat. RANI),Sam Feldt,Top Songs of 2020: Australia
23,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2020: Australia
24,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,Top Songs of 2020: Australia
25,The Box,Roddy Ricch,Top Songs of 2020: Australia
26,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: Australia
27,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2020: Australia
28,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2020: Australia
29,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2020: Australia
30,Lose You to Love Me,Selena Gomez,Top Songs of 2020: Australia
31,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2020: Australia
32,Piece Of Your Heart,"Meduza, Goodboys",Top Songs of 2020: Australia
33,Say So,Doja Cat,Top Songs of 2020: Australia
34,Physical,Dua Lipa,Top Songs of 2020: Australia
35,Graveyard,Halsey,Top Songs of 2020: Australia
36,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2020: Australia
37,Woke Up Late (feat. Hailee Steinfeld),Drax Project,Top Songs of 2020: Australia
38,Glitter,BENEE,Top Songs of 2020: Australia
39,Supalonely (feat. Gus Dapperton),BENEE,Top Songs of 2020: Australia
40,Breaking Me,"Topic, A7S",Top Songs of 2020: Australia
41,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2020: Australia
42,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2020: Australia
43,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: Australia
44,Choir,Guy Sebastian,Top Songs of 2020: Australia
45,Know Your Worth,"Khalid, Disclosure",Top Songs of 2020: Australia
46,This City,Sam Fischer,Top Songs of 2020: Australia
47,Falling,Trevor Daniel,Top Songs of 2020: Australia
48,Lose Control,"Meduza, Becky Hill, Goodboys",Top Songs of 2020: Australia
49,Break My Heart,Dua Lipa,Top Songs of 2020: Australia
50,Rain On Me,"Lady Gaga, Ariana Grande",Top Songs of 2020: Australia
51,Godzilla (feat. Juice WRLD),Eminem,Top Songs of 2020: Australia
52,Shotgun,George Ezra,Top Songs of 2020: Australia
53,Body (feat. brando),Loud Luxury,Top Songs of 2020: Australia
54,Live In Life,The Rubens,Top Songs of 2020: Australia
55,Youngblood,5 Seconds of Summer,Top Songs of 2020: Australia
56,death bed (feat. beabadoobee) [coffee for your head],Powfu,Top Songs of 2020: Australia
57,July,"Noah Cyrus, Leon Bridges",Top Songs of 2020: Australia
58,Maniac,Conan Gray,Top Songs of 2020: Australia
59,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2020: Australia
60,Toosie Slide,Drake,Top Songs of 2020: Australia
61,The Reaper (feat. Amy Shark),The Chainsmokers,Top Songs of 2020: Australia
62,Purple Hat,Sofi Tukker,Top Songs of 2020: Australia
63,Be Alright,Dean Lewis,Top Songs of 2020: Australia
64,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: Australia
65,Exit Sign (feat. Illy & Ecca Vandal),Hilltop Hoods,Top Songs of 2020: Australia
66,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2020: Australia
67,Don't Call Me Up,Mabel,Top Songs of 2020: Australia
68,What a Man Gotta Do,Jonas Brothers,Top Songs of 2020: Australia
69,Happier,"Marshmello, Bastille",Top Songs of 2020: Australia
70,Bruises (Live Orchestral Version),Lewis Capaldi,Top Songs of 2020: Australia
71,Sunday Best,Surfaces,Top Songs of 2020: Australia
72,Life Is Good (feat. Drake),Future,Top Songs of 2020: Australia
73,The Git Up,Blanco Brown,Top Songs of 2020: Australia
74,Bad Child,Tones And I,Top Songs of 2020: Australia
75,3 Nights,Dominic Fike,Top Songs of 2020: Australia
76,Shape of You,Ed Sheeran,Top Songs of 2020: Australia
77,Riptide,Vance Joy,Top Songs of 2020: Australia
78,Lonely,"Diplo, Jonas Brothers",Top Songs of 2020: Australia
79,Mood (feat. iann dior),24kGoldn,Top Songs of 2020: Australia
80,Yummy,Justin Bieber,Top Songs of 2020: Australia
81,SICKO MODE,Travis Scott,Top Songs of 2020: Australia
82,Higher Love,"Kygo, Whitney Houston",Top Songs of 2020: Australia
83,Falling,Harry Styles,Top Songs of 2020: Australia
84,Pump It Up,Endor,Top Songs of 2020: Australia
85,You Need To Calm Down,Taylor Swift,Top Songs of 2020: Australia
86,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Top Songs of 2020: Australia
87,Truth Hurts,Lizzo,Top Songs of 2020: Australia
88,Another Place,"Bastille, Alessia Cara",Top Songs of 2020: Australia
89,Be Kind,"Marshmello, Halsey",Top Songs of 2020: Australia
90,hot girl bummer,blackbear,Top Songs of 2020: Australia
91,No Judgement,Niall Horan,Top Songs of 2020: Australia
92,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: Australia
93,when the party's over,Billie Eilish,Top Songs of 2020: Australia
94,The Man,Taylor Swift,Top Songs of 2020: Australia
95,Stuck with U,"Ariana Grande, Justin Bieber",Top Songs of 2020: Australia
96,Heartless (feat. Morgan Wallen),Diplo,Top Songs of 2020: Australia
97,Thunder,Imagine Dragons,Top Songs of 2020: Australia
98,It's You,Ali Gatie,Top Songs of 2020: Australia
99,Used To Love,"Martin Garrix, Dean Lewis",Top Songs of 2020: Australia
0,Heat Waves,Glass Animals,Top Songs of 2021: Australia
1,drivers license,Olivia Rodrigo,Top Songs of 2021: Australia
2,Head & Heart (feat. MNEK),Joel Corry,Top Songs of 2021: Australia
3,Blinding Lights,The Weeknd,Top Songs of 2021: Australia
4,Mood (feat. iann dior),24kGoldn,Top Songs of 2021: Australia
5,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: Australia
6,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: Australia
7,SO DONE,The Kid LAROI,Top Songs of 2021: Australia
8,The Business,Tiësto,Top Songs of 2021: Australia
9,good 4 u,Olivia Rodrigo,Top Songs of 2021: Australia
10,Fly Away,Tones And I,Top Songs of 2021: Australia
11,Dance Monkey,Tones And I,Top Songs of 2021: Australia
12,positions,Ariana Grande,Top Songs of 2021: Australia
13,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: Australia
14,Watermelon Sugar,Harry Styles,Top Songs of 2021: Australia
15,Dreams,Fleetwood Mac,Top Songs of 2021: Australia
16,you broke me first,Tate McRae,Top Songs of 2021: Australia
17,Astronaut in the Ocean,Masked Wolf,Top Songs of 2021: Australia
18,Holy (feat. Chance the Rapper),Justin Bieber,Top Songs of 2021: Australia
19,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: Australia
20,Bad Habits,Ed Sheeran,Top Songs of 2021: Australia
21,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2021: Australia
22,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Top Songs of 2021: Australia
23,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2021: Australia
24,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2021: Australia
25,Riptide,Vance Joy,Top Songs of 2021: Australia
26,Don't Start Now,Dua Lipa,Top Songs of 2021: Australia
27,Dynamite,BTS,Top Songs of 2021: Australia
28,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Top Songs of 2021: Australia
29,Someone You Loved,Lewis Capaldi,Top Songs of 2021: Australia
30,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2021: Australia
31,Therefore I Am,Billie Eilish,Top Songs of 2021: Australia
32,One Too Many,"Keith Urban, P!nk",Top Songs of 2021: Australia
33,Take You Dancing,Jason Derulo,Top Songs of 2021: Australia
34,Breaking Me,"Topic, A7S",Top Songs of 2021: Australia
35,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2021: Australia
36,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2021: Australia
37,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2021: Australia
38,deja vu,Olivia Rodrigo,Top Songs of 2021: Australia
39,Dancing In The Moonlight (feat. NEIMY),Jubël,Top Songs of 2021: Australia
40,Youngblood,5 Seconds of Summer,Top Songs of 2021: Australia
41,my ex's best friend,"Machine Gun Kelly, blackbear",Top Songs of 2021: Australia
42,Midnight Sky,Miley Cyrus,Top Songs of 2021: Australia
43,Ride It,Regard,Top Songs of 2021: Australia
44,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2021: Australia
45,Looking For Me,"Paul Woolford, Diplo, Kareen Lomax",Top Songs of 2021: Australia
46,Anyone,Justin Bieber,Top Songs of 2021: Australia
47,Shape of You,Ed Sheeran,Top Songs of 2021: Australia
48,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],"Riton, Nightcrawlers",Top Songs of 2021: Australia
49,willow,Taylor Swift,Top Songs of 2021: Australia
50,Be Like That,"Kane Brown, Swae Lee, Khalid",Top Songs of 2021: Australia
51,Whoopty,CJ,Top Songs of 2021: Australia
52,Paradise (feat. Dermot Kennedy),Meduza,Top Songs of 2021: Australia
53,bad guy,Billie Eilish,Top Songs of 2021: Australia
54,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2021: Australia
55,Save Your Tears (Remix),"The Weeknd, Ariana Grande",Top Songs of 2021: Australia
56,What You Know Bout Love,Pop Smoke,Top Songs of 2021: Australia
57,Goosebumps (Remix),"Travis Scott, HVME",Top Songs of 2021: Australia
58,Circles,Post Malone,Top Songs of 2021: Australia
59,Memories,Maroon 5,Top Songs of 2021: Australia
60,Forever After All,Luke Combs,Top Songs of 2021: Australia
61,Save Your Tears,The Weeknd,Top Songs of 2021: Australia
62,Mr. Brightside,The Killers,Top Songs of 2021: Australia
63,Your Love (9PM),"ATB, Topic, A7S",Top Songs of 2021: Australia
64,Hold On,Justin Bieber,Top Songs of 2021: Australia
65,My Head & My Heart,Ava Max,Top Songs of 2021: Australia
66,Rain On Me,"Lady Gaga, Ariana Grande",Top Songs of 2021: Australia
67,Be Alright,Dean Lewis,Top Songs of 2021: Australia
68,The Nosebleed Section,Hilltop Hoods,Top Songs of 2021: Australia
69,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2021: Australia
70,You should be sad,Halsey,Top Songs of 2021: Australia
71,Up,Cardi B,Top Songs of 2021: Australia
72,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: Australia
73,Before You Go,Lewis Capaldi,Top Songs of 2021: Australia
74,34+35,Ariana Grande,Top Songs of 2021: Australia
75,Thunder,Imagine Dragons,Top Songs of 2021: Australia
76,Beggin',Måneskin,Top Songs of 2021: Australia
77,Lovefool,twocolors,Top Songs of 2021: Australia
78,Bed,"Joel Corry, RAYE, Pierre David Guetta",Top Songs of 2021: Australia
79,Love Not War (The Tampa Beat),"Jason Derulo, Nuka",Top Songs of 2021: Australia
80,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2021: Australia
81,Lasting Lover,"Sigala, James Arthur",Top Songs of 2021: Australia
82,Thinking Out Loud,Ed Sheeran,Top Songs of 2021: Australia
83,RAPSTAR,Polo G,Top Songs of 2021: Australia
84,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver",Top Songs of 2021: Australia
85,Prisoner (feat. Dua Lipa),Miley Cyrus,Top Songs of 2021: Australia
86,Feel It Still,Portugal. The Man,Top Songs of 2021: Australia
87,Body (feat. brando),Loud Luxury,Top Songs of 2021: Australia
88,Some Say (Felix Jaehn Remix),NEA,Top Songs of 2021: Australia
89,Adore You,Harry Styles,Top Songs of 2021: Australia
90,Streets,Doja Cat,Top Songs of 2021: Australia
91,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: Australia
92,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2021: Australia
93,Shotgun,George Ezra,Top Songs of 2021: Australia
94,Africa,Toto,Top Songs of 2021: Australia
95,New Rules,Dua Lipa,Top Songs of 2021: Australia
96,Everybody Rise,Amy Shark,Top Songs of 2021: Australia
97,Wonder,Shawn Mendes,Top Songs of 2021: Australia
98,Counting Stars,OneRepublic,Top Songs of 2021: Australia
99,Pumped Up Kicks,Foster the People,Top Songs of 2021: Australia
0,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2022: Australia
1,Cold Heart (PNAU Remix),"Elton John, Dua Lipa",Top Songs of 2022: Australia
2,Bad Habits,Ed Sheeran,Top Songs of 2022: Australia
3,Heat Waves,Glass Animals,Top Songs of 2022: Australia
4,Shivers,Ed Sheeran,Top Songs of 2022: Australia
5,As It Was,Harry Styles,Top Songs of 2022: Australia
6,Easy On Me,Adele,Top Songs of 2022: Australia
7,Where Are You Now,"Lost Frequencies, Calum Scott",Top Songs of 2022: Australia
8,abcdefu,GAYLE,Top Songs of 2022: Australia
9,Blinding Lights,The Weeknd,Top Songs of 2022: Australia
10,First Class,Jack Harlow,Top Songs of 2022: Australia
11,INDUSTRY BABY,"Lil Nas X, Jack Harlow",Top Songs of 2022: Australia
12,Riptide,Vance Joy,Top Songs of 2022: Australia
13,THATS WHAT I WANT,Lil Nas X,Top Songs of 2022: Australia
14,good 4 u,Olivia Rodrigo,Top Songs of 2022: Australia
15,Missing Piece,Vance Joy,Top Songs of 2022: Australia
16,Dance Monkey,Tones And I,Top Songs of 2022: Australia
17,About Damn Time,Lizzo,Top Songs of 2022: Australia
18,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2022: Australia
19,Ghost,Justin Bieber,Top Songs of 2022: Australia
20,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, , , ,",Top Songs of 2022: Australia
21,Save Your Tears (Remix),"The Weeknd, Ariana Grande",Top Songs of 2022: Australia
22,Dreams,Fleetwood Mac,Top Songs of 2022: Australia
23,Watermelon Sugar,Harry Styles,Top Songs of 2022: Australia
24,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2022: Australia
25,Go Your Own Way,Fleetwood Mac,Top Songs of 2022: Australia
26,Overpass Graffiti,Ed Sheeran,Top Songs of 2022: Australia
27,Thinking Out Loud,Ed Sheeran,Top Songs of 2022: Australia
28,Thousand Miles,The Kid LAROI,Top Songs of 2022: Australia
29,The Motto,"Tiësto, Ava Max",Top Songs of 2022: Australia
30,Mr. Brightside,The Killers,Top Songs of 2022: Australia
31,I Ain't Worried,OneRepublic,Top Songs of 2022: Australia
32,Shape of You,Ed Sheeran,Top Songs of 2022: Australia
33,Do It To It (feat. Cherish),Acraze,Top Songs of 2022: Australia
34,Running Up That Hill (A Deal with God),Kate Bush,Top Songs of 2022: Australia
35,Youngblood,5 Seconds of Summer,Top Songs of 2022: Australia
36,Iris,The Goo Goo Dolls,Top Songs of 2022: Australia
37,she's all i wanna be,Tate McRae,Top Songs of 2022: Australia
38,New Rules,Dua Lipa,Top Songs of 2022: Australia
39,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2022: Australia
40,Someone You Loved,Lewis Capaldi,Top Songs of 2022: Australia
41,Woman,Doja Cat,Top Songs of 2022: Australia
42,Don't Start Now,Dua Lipa,Top Songs of 2022: Australia
43,Better Days,"NEIKED, Mae Muller, Polo G",Top Songs of 2022: Australia
44,Head & Heart (feat. MNEK),Joel Corry,Top Songs of 2022: Australia
45,Oh My God,Adele,Top Songs of 2022: Australia
46,Perfect,Ed Sheeran,Top Songs of 2022: Australia
47,Looks Like Me,Dean Lewis,Top Songs of 2022: Australia
48,Astronaut in the Ocean,Masked Wolf,Top Songs of 2022: Australia
49,Lost,Frank Ocean,Top Songs of 2022: Australia
50,Under the Influence,Chris Brown,Top Songs of 2022: Australia
51,Acapulco,Jason Derulo,Top Songs of 2022: Australia
52,Happier Than Ever,Billie Eilish,Top Songs of 2022: Australia
53,Beggin',Måneskin,Top Songs of 2022: Australia
54,One Right Now,"Post Malone, The Weeknd",Top Songs of 2022: Australia
55,Walking On a Dream,Empire of the Sun,Top Songs of 2022: Australia
56,When It Rains It Pours,Luke Combs,Top Songs of 2022: Australia
57,Bam Bam (feat. Ed Sheeran),Camila Cabello,Top Songs of 2022: Australia
58,The Business,Tiësto,Top Songs of 2022: Australia
59,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2022: Australia
60,The Nosebleed Section,Hilltop Hoods,Top Songs of 2022: Australia
61,bad guy,Billie Eilish,Top Songs of 2022: Australia
62,WITHOUT YOU,The Kid LAROI,Top Songs of 2022: Australia
63,Fancy Like,Walker Hayes,Top Songs of 2022: Australia
64,Believer,Imagine Dragons,Top Songs of 2022: Australia
65,Starboy (feat. Daft Punk),The Weeknd,Top Songs of 2022: Australia
66,Say Nothing (feat. MAY-A),Flume,Top Songs of 2022: Australia
67,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2022: Australia
68,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Top Songs of 2022: Australia
69,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Top Songs of 2022: Australia
70,Need To Know,Doja Cat,Top Songs of 2022: Australia
71,Counting Stars,OneRepublic,Top Songs of 2022: Australia
72,Circles,Post Malone,Top Songs of 2022: Australia
73,Sunroof,"Nicky Youre, Dazy",Top Songs of 2022: Australia
74,Be Alright,Dean Lewis,Top Songs of 2022: Australia
75,Wake Me Up,Avicii,Top Songs of 2022: Australia
76,Beautiful Crazy,Luke Combs,Top Songs of 2022: Australia
77,On My Knees,RÜFÜS DU SOL,Top Songs of 2022: Australia
78,Without Me,Eminem,Top Songs of 2022: Australia
79,Enemy,"Imagine Dragons, JID, League of Legends",Top Songs of 2022: Australia
80,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2022: Australia
81,Take My Breath,The Weeknd,Top Songs of 2022: Australia
82,Surface Pressure,Jessica Darrow,Top Songs of 2022: Australia
83,The A Team,Ed Sheeran,Top Songs of 2022: Australia
84,Fly Away,Tones And I,Top Songs of 2022: Australia
85,Dreams (feat. Reigan),Jolyon Petch,Top Songs of 2022: Australia
86,Down Under (feat. Colin Hay),Luude,Top Songs of 2022: Australia
87,Rolling in the Deep,Adele,Top Songs of 2022: Australia
88,Leave Before You Love Me,"Marshmello, Jonas Brothers",Top Songs of 2022: Australia
89,Crazy in Love (feat. Jay-Z),Beyoncé,Top Songs of 2022: Australia
90,Hurtless,Dean Lewis,Top Songs of 2022: Australia
91,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2022: Australia
92,Moth To A Flame,"Swedish House Mafia, The Weeknd",Top Songs of 2022: Australia
93,Thunder,Imagine Dragons,Top Songs of 2022: Australia
94,Mood (feat. iann dior),24kGoldn,Top Songs of 2022: Australia
95,Late Night Talking,Harry Styles,Top Songs of 2022: Australia
96,Memories,Maroon 5,Top Songs of 2022: Australia
97,Sex On Fire,Kings of Leon,Top Songs of 2022: Australia
98,Castle on the Hill,Ed Sheeran,Top Songs of 2022: Australia
99,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,Top Songs of 2022: Australia
