,songs,artist,title
79,Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna",Top Songs of 2021: USA
80,Whiskey Glasses,Morgan Wallen,Top Songs of 2021: USA
81,goosebumps,Travis Scott,Top Songs of 2021: USA
82,Said Sum (Remix) [feat. City Girls & DaBaby],Moneybagg Yo,Top Songs of 2021: USA
83,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2021: USA
84,Life Is Good (feat. Drake),Future,Top Songs of 2021: USA
85,Girls Want Girls (feat. Lil Baby),Drake,Top Songs of 2021: USA
86,Ski,"Young Stoner Life, Young Thug, Gunna",Top Songs of 2021: USA
87,Richer (feat. Polo G),Rod Wave,Top Songs of 2021: USA
88,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2021: USA
89,24 (feat. Lil Baby),Money Man,Top Songs of 2021: USA
90,Real As It Gets (feat. EST Gee),Lil Baby,Top Songs of 2021: USA
91,m y . l i f e,"J. Cole, 21 Savage, Morray",Top Songs of 2021: USA
92,Lemon Pepper Freestyle (feat. Rick Ross),Drake,Top Songs of 2021: USA
93,Hard for the Next,"Moneybagg Yo, Future",Top Songs of 2021: USA
94,Need To Know,Doja Cat,Top Songs of 2021: USA
95,Still Goin' Down,Morgan Wallen,Top Songs of 2021: USA
96,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: USA
97,Beautiful Crazy,Luke Combs,Top Songs of 2021: USA
98,late at night,Roddy Ricch,Top Songs of 2021: USA
99,pov,Ariana Grande,Top Songs of 2021: USA
0,WAIT FOR U (feat. Drake & Tems),Future,Top Songs of 2022: USA
1,Super Gremlin,Kodak Black,Top Songs of 2022: USA
2,Me Porto Bonito,"Bad Bunny, Chencho Corleone",Top Songs of 2022: USA
3,pushin P (feat. Young Thug),"Gunna, Future",Top Songs of 2022: USA
4,As It Was,Harry Styles,Top Songs of 2022: USA
5,Tití Me Preguntó,Bad Bunny,Top Songs of 2022: USA
6,First Class,Jack Harlow,Top Songs of 2022: USA
7,In A Minute,Lil Baby,Top Songs of 2022: USA
8,Knife Talk (feat. 21 Savage & Project Pat),Drake,Top Songs of 2022: USA
9,Easy On Me,Adele,Top Songs of 2022: USA
10,Jimmy Cooks (feat. 21 Savage),Drake,Top Songs of 2022: USA
11,Hrs & Hrs,Muni Long,Top Songs of 2022: USA
12,Broadway Girls (feat. Morgan Wallen),Lil Durk,Top Songs of 2022: USA
13,I Hate U,SZA,Top Songs of 2022: USA
14,What Happened To Virgil (feat. Gunna),Lil Durk,Top Songs of 2022: USA
15,Heat Waves,Glass Animals,Top Songs of 2022: USA
16,PUFFIN ON ZOOTIEZ,Future,Top Songs of 2022: USA
17,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2022: USA
18,Moscow Mule,Bad Bunny,Top Songs of 2022: USA
19,Freestyle,Lil Baby,Top Songs of 2022: USA
20,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,Top Songs of 2022: USA
21,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, , , ,",Top Songs of 2022: USA
22,By Your Side,Rod Wave,Top Songs of 2022: USA
23,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2022: USA
24,Way 2 Sexy (feat. Future & Young Thug),Drake,Top Songs of 2022: USA
25,You Proof,Morgan Wallen,Top Songs of 2022: USA
26,Wasted On You,Morgan Wallen,Top Songs of 2022: USA
27,Girls Want Girls (feat. Lil Baby),Drake,Top Songs of 2022: USA
28,Me or Sum (feat. Future & Lil Baby),Nardo Wick,Top Songs of 2022: USA
29,INDUSTRY BABY,"Lil Nas X, Jack Harlow",Top Songs of 2022: USA
30,Efecto,Bad Bunny,Top Songs of 2022: USA
31,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2022: USA
32,Party,"Bad Bunny, Rauw Alejandro",Top Songs of 2022: USA
33,No Role Modelz,J. Cole,Top Songs of 2022: USA
34,Die For You,The Weeknd,Top Songs of 2022: USA
35,Need To Know,Doja Cat,Top Songs of 2022: USA
36,P power (feat. Drake),Gunna,Top Songs of 2022: USA
37,Bad Habit,Steve Lacy,Top Songs of 2022: USA
38,AHHH HA,Lil Durk,Top Songs of 2022: USA
39,Whiskey Glasses,Morgan Wallen,Top Songs of 2022: USA
40,Martin & Gina,Polo G,Top Songs of 2022: USA
41,Power Trip (feat. Miguel),J. Cole,Top Songs of 2022: USA
42,Under the Influence,Chris Brown,Top Songs of 2022: USA
43,No Love,"Summer Walker, SZA",Top Songs of 2022: USA
44,Chasin' You,Morgan Wallen,Top Songs of 2022: USA
45,Right On,Lil Baby,Top Songs of 2022: USA
46,abcdefu,GAYLE,Top Songs of 2022: USA
47,Después de la Playa,Bad Bunny,Top Songs of 2022: USA
48,Best I Ever Had,Drake,Top Songs of 2022: USA
49,Drowning (feat. Kodak Black),A Boogie wit da Hoodie,Top Songs of 2022: USA
50,Sum 2 Prove,Lil Baby,Top Songs of 2022: USA
51,goosebumps,Travis Scott,Top Songs of 2022: USA
52,Armed and Dangerous,Juice WRLD,Top Songs of 2022: USA
53,DÁKITI,"Bad Bunny, Jhayco",Top Songs of 2022: USA
54,Tarot,"Bad Bunny, Jhayco",Top Songs of 2022: USA
55,Started From the Bottom,Drake,Top Songs of 2022: USA
56,No Guidance (feat. Drake),Chris Brown,Top Songs of 2022: USA
57,Stick Talk,Future,Top Songs of 2022: USA
58,Kacey Talk,YoungBoy Never Broke Again,Top Songs of 2022: USA
59,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2022: USA
60,Sand In My Boots,Morgan Wallen,Top Songs of 2022: USA
61,No Flockin,Kodak Black,Top Songs of 2022: USA
62,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2022: USA
63,Blinding Lights,The Weeknd,Top Songs of 2022: USA
64,Fair Trade (feat. Travis Scott),Drake,Top Songs of 2022: USA
65,Beautiful Crazy,Luke Combs,Top Songs of 2022: USA
66,RAPSTAR,Polo G,Top Songs of 2022: USA
67,Free Mind,Tems,Top Songs of 2022: USA
68,Back in Blood (feat. Lil Durk),Pooh Shiesty,Top Songs of 2022: USA
69,Cold Heart (PNAU Remix),"Elton John, Dua Lipa",Top Songs of 2022: USA
70,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Top Songs of 2022: USA
71,Callaita,"Bad Bunny, Tainy",Top Songs of 2022: USA
72,Running Up That Hill (A Deal with God),Kate Bush,Top Songs of 2022: USA
73,Nonstop,Drake,Top Songs of 2022: USA
74,Woah,Lil Baby,Top Songs of 2022: USA
75,Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,Top Songs of 2022: USA
76,Cover Me Up,Morgan Wallen,Top Songs of 2022: USA
77,Un Ratito,Bad Bunny,Top Songs of 2022: USA
78,25k jacket (feat. Lil Baby),Gunna,Top Songs of 2022: USA
79,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2022: USA
80,Going Bad (feat. Drake),Meek Mill,Top Songs of 2022: USA
81,Tennessee Whiskey,Chris Stapleton,Top Songs of 2022: USA
82,good 4 u,Olivia Rodrigo,Top Songs of 2022: USA
83,What You Know Bout Love,Pop Smoke,Top Songs of 2022: USA
84,God's Plan,Drake,Top Songs of 2022: USA
85,Don't,Bryson Tiller,Top Songs of 2022: USA
86,Something in the Orange,Zach Bryan,Top Songs of 2022: USA
87,Maybach (feat. Future),42 Dugg,Top Songs of 2022: USA
88,Lost,Frank Ocean,Top Songs of 2022: USA
89,More Than My Hometown,Morgan Wallen,Top Songs of 2022: USA
90,Hats Off,"Lil Baby, Lil Durk, Travis Scott",Top Songs of 2022: USA
91,Sweater Weather,The Neighbourhood,Top Songs of 2022: USA
92,LOVE YOU BETTER,Future,Top Songs of 2022: USA
93,MAMIII,"Becky G., KAROL G",Top Songs of 2022: USA
94,Check,Young Thug,Top Songs of 2022: USA
