,songs,artist,title
68,Chasin' You,Morgan Wallen,Top Songs of 2020: Canada
69,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Top Songs of 2020: Canada
70,The Bones,"Maren Morris, Hozier",Top Songs of 2020: Canada
71,Higher Love,"Kygo, Whitney Houston",Top Songs of 2020: Canada
72,One Man Band,Old Dominion,Top Songs of 2020: Canada
73,Lucid Dreams,Juice WRLD,Top Songs of 2020: Canada
74,More Than My Hometown,Morgan Wallen,Top Songs of 2020: Canada
75,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2020: Canada
76,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2020: Canada
77,Know Your Worth,"Khalid, Disclosure",Top Songs of 2020: Canada
78,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2020: Canada
79,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Top Songs of 2020: Canada
80,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,Top Songs of 2020: Canada
81,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: Canada
82,Robbery,Juice WRLD,Top Songs of 2020: Canada
83,Rain On Me,"Lady Gaga, Ariana Grande",Top Songs of 2020: Canada
84,Ransom,Lil Tecca,Top Songs of 2020: Canada
85,Suicidal,YNW Melly,Top Songs of 2020: Canada
86,F.N,Lil Tjay,Top Songs of 2020: Canada
87,It's You,Ali Gatie,Top Songs of 2020: Canada
88,Beautiful Crazy,Luke Combs,Top Songs of 2020: Canada
89,when the party's over,Billie Eilish,Top Songs of 2020: Canada
90,No Idea,Don Toliver,Top Songs of 2020: Canada
91,Start wit Me (feat. Gunna),Roddy Ricch,Top Songs of 2020: Canada
92,Falling,Harry Styles,Top Songs of 2020: Canada
93,VIBEZ,DaBaby,Top Songs of 2020: Canada
94,Hard to Forget,Sam Hunt,Top Songs of 2020: Canada
95,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2020: Canada
96,Going Bad (feat. Drake),Meek Mill,Top Songs of 2020: Canada
97,Stuck in a Dream (feat. Gunna),Lil Mosey,Top Songs of 2020: Canada
98,Suge,DaBaby,Top Songs of 2020: Canada
99,Sum 2 Prove,Lil Baby,Top Songs of 2020: Canada
0,drivers license,Olivia Rodrigo,Top Songs of 2021: Canada
1,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: Canada
2,good 4 u,Olivia Rodrigo,Top Songs of 2021: Canada
3,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Top Songs of 2021: Canada
4,Mood (feat. iann dior),24kGoldn,Top Songs of 2021: Canada
5,Astronaut In The Ocean,Masked Wolf,Top Songs of 2021: Canada
6,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: Canada
7,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2021: Canada
8,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: Canada
9,Heat Waves,Glass Animals,Top Songs of 2021: Canada
10,Forever After All,Luke Combs,Top Songs of 2021: Canada
11,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2021: Canada
12,Blinding Lights,The Weeknd,Top Songs of 2021: Canada
13,positions,Ariana Grande,Top Songs of 2021: Canada
14,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: Canada
15,Whoopty,CJ,Top Songs of 2021: Canada
16,RAPSTAR,Polo G,Top Songs of 2021: Canada
17,Save Your Tears,The Weeknd,Top Songs of 2021: Canada
18,my ex's best friend,"Machine Gun Kelly, blackbear",Top Songs of 2021: Canada
19,SO DONE,The Kid LAROI,Top Songs of 2021: Canada
20,What You Know Bout Love,Pop Smoke,Top Songs of 2021: Canada
21,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2021: Canada
22,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: Canada
23,Holy (feat. Chance the Rapper),Justin Bieber,Top Songs of 2021: Canada
24,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2021: Canada
25,Bad Habits,Ed Sheeran,Top Songs of 2021: Canada
26,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2021: Canada
27,Martin & Gina,Polo G,Top Songs of 2021: Canada
28,deja vu,Olivia Rodrigo,Top Songs of 2021: Canada
29,you broke me first,Tate McRae,Top Songs of 2021: Canada
30,Dance Monkey,Tones And I,Top Songs of 2021: Canada
31,Goosebumps (Remix),"Travis Scott, HVME",Top Songs of 2021: Canada
32,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2021: Canada
33,Dreams,Fleetwood Mac,Top Songs of 2021: Canada
34,Watermelon Sugar,Harry Styles,Top Songs of 2021: Canada
35,Be Like That,"Kane Brown, Swae Lee, Khalid",Top Songs of 2021: Canada
36,Therefore I Am,Billie Eilish,Top Songs of 2021: Canada
37,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2021: Canada
38,Monster,"Shawn Mendes, Justin Bieber",Top Songs of 2021: Canada
39,Hold On,Justin Bieber,Top Songs of 2021: Canada
40,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: Canada
41,Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",Top Songs of 2021: Canada
42,More Than My Hometown,Morgan Wallen,Top Songs of 2021: Canada
43,Anyone,Justin Bieber,Top Songs of 2021: Canada
44,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver",Top Songs of 2021: Canada
45,West Coast (feat. Quinn XCII),DVBBS,Top Songs of 2021: Canada
46,The Business,Tiësto,Top Songs of 2021: Canada
47,Wasted On You,Morgan Wallen,Top Songs of 2021: Canada
48,Someone You Loved,Lewis Capaldi,Top Songs of 2021: Canada
49,Breaking Me,"Topic, A7S",Top Songs of 2021: Canada
50,Somebody’s Problem,Morgan Wallen,Top Songs of 2021: Canada
51,Up,Cardi B,Top Songs of 2021: Canada
52,POPSTAR (feat. Drake),DJ Khaled,Top Songs of 2021: Canada
53,Laugh Now Cry Later (feat. Lil Durk),Drake,Top Songs of 2021: Canada
54,Head & Heart (feat. MNEK),Joel Corry,Top Songs of 2021: Canada
55,INDUSTRY BABY,"Lil Nas X, Jack Harlow",Top Songs of 2021: Canada
56,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2021: Canada
57,Good Days,SZA,Top Songs of 2021: Canada
58,34+35,Ariana Grande,Top Songs of 2021: Canada
59,Starting Over,Chris Stapleton,Top Songs of 2021: Canada
60,Cover Me Up,Morgan Wallen,Top Songs of 2021: Canada
61,Circles,Post Malone,Top Songs of 2021: Canada
62,Wonder,Shawn Mendes,Top Songs of 2021: Canada
63,7 Summers,Morgan Wallen,Top Songs of 2021: Canada
64,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2021: Canada
65,Tyler Herro,Jack Harlow,Top Songs of 2021: Canada
66,Dancing In The Moonlight (feat. NEIMY),Jubël,Top Songs of 2021: Canada
67,traitor,Olivia Rodrigo,Top Songs of 2021: Canada
68,What’s Next,Drake,Top Songs of 2021: Canada
