,songs,artist_x,title,artist_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country
141,Every Season,Roddy Ricch,Top Songs of 2019: USA,Roddy Ricch,0.936,0.704,5.0,-5.47,0.0,0.457,0.0632,0.0,0.104,0.566,130.022,2019,USA
142,Better Now,Post Malone,Top Songs of 2019: USA,Post Malone,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,2019,USA
145,Dancing With A Stranger,"Sam Smith, Normani",Top Songs of 2019: USA,"Sam Smith, Normani",0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998,2019,USA
149,Robbery,Juice WRLD,Top Songs of 2019: USA,Juice WRLD,0.623,0.692,2.0,-5.122,1.0,0.0504,0.328,0.0,0.153,0.566,79.899,2019,USA
151,lovely,"Billie Eilish, Khalid",Top Songs of 2019: USA,"Billie Eilish, Khalid",0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,2019,USA
155,Panini,Lil Nas X,Top Songs of 2019: USA,Lil Nas X,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,2019,USA
156,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,Top Songs of 2019: USA,Nipsey Hussle,0.671,0.833,5.0,-5.152,0.0,0.395,0.0825,0.0,0.0726,0.702,79.351,2019,USA
157,Backin' It Up (feat. Cardi B),Pardison Fontaine,Top Songs of 2019: USA,Pardison Fontaine,0.796,0.68,10.0,-4.853,0.0,0.353,0.0886,0.0,0.268,0.565,164.932,2019,USA
158,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: USA,"benny blanco, Halsey, Khalid",0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,2019,USA
167,ocean eyes,Billie Eilish,Top Songs of 2019: USA,Billie Eilish,0.511,0.363,4.0,-7.65,0.0,0.041,0.816,0.0317,0.084,0.169,144.892,2019,USA
